scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.635,6815503,True,2021-08-08 03:56:39,0.635,True
0.634,6818936,True,2021-08-09 00:18:53,0.634,True
0.634,6815267,True,2021-08-09 12:24:37,0.634,True
0.631,6823597,True,2021-08-09 14:58:43,0.631,True
0.628,6817202,True,2021-08-09 14:15:50,0.628,True
0.628,6903817,True,2021-08-08 11:19:49,0.628,True
0.626,6968613,True,2021-08-09 14:53:23,0.626,True
0.625,6839557,True,2021-08-09 14:38:40,0.625,True
0.625,6817029,True,2021-08-09 13:43:23,0.625,True
0.624,6815527,True,2021-08-09 14:22:33,0.624,True
0.624,6861408,True,2021-08-09 03:45:55,0.624,True
0.623,6815226,True,2021-08-09 16:14:31,0.623,True
0.623,7013014,True,2021-08-09 14:39:58,0.623,True
0.622,6882877,True,2021-08-09 09:15:31,0.622,True
0.622,6822877,True,2021-08-09 14:24:51,0.622,True
0.621,6820844,True,2021-08-09 10:59:15,0.621,True
0.621,6822372,True,2021-08-09 15:20:21,0.621,True
0.621,6897960,True,2021-08-09 14:43:40,0.621,True
0.621,6815184,True,2021-08-09 15:38:44,0.621,True
0.620,6820661,True,2021-08-09 17:25:50,0.620,True
0.619,6887924,True,2021-08-09 14:37:44,0.619,True
0.619,6818118,True,2021-08-09 16:48:53,0.619,True
0.619,6859268,True,2021-08-09 17:21:02,0.619,True
0.619,6817301,True,2021-08-09 17:22:32,0.619,True
0.619,7035105,True,2021-08-09 20:17:46,0.619,True
0.619,7164020,True,2021-08-09 18:32:34,0.619,True
0.617,6821404,True,2021-08-09 10:10:13,0.617,True
0.617,6924944,True,2021-08-09 15:18:09,0.617,True
0.616,6995489,True,2021-08-09 16:27:53,0.616,True
0.616,7056519,True,2021-08-09 16:10:14,0.616,True
0.616,6833650,True,2021-08-09 17:44:18,0.616,True
0.615,6928742,True,2021-08-09 09:50:46,0.615,True
0.615,6826446,True,2021-08-09 14:18:43,0.615,True
0.615,6816583,True,2021-08-09 18:08:08,0.615,True
0.614,6820941,True,2021-08-09 16:37:51,0.614,True
0.614,6817615,True,2021-08-09 16:51:55,0.614,True
0.614,6899150,True,2021-08-09 15:21:27,0.614,True
0.614,6824358,True,2021-07-21 05:14:45,0.614,True
0.613,6816328,True,2021-08-09 14:57:19,0.613,True
0.613,6856466,True,2021-08-03 09:05:10,0.613,True
0.613,6962879,True,2021-08-09 17:20:36,0.613,True
0.613,6992753,True,2021-08-09 15:36:05,0.613,True
0.613,6854977,True,2021-08-09 17:14:45,0.613,True
0.612,6914709,True,2021-08-09 14:31:08,0.612,True
0.612,6822235,True,2021-08-09 17:25:51,0.612,True
0.612,6835816,True,2021-08-09 04:13:52,0.612,True
0.612,6833167,True,2021-08-09 02:33:31,0.612,True
