scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.10342,3025299,True,2019-06-10 13:59:54,0.10342,True
0.11298,3108932,True,2019-06-10 19:51:33,0.11298,True
0.12696,2999850,True,2019-06-10 23:57:49,0.12696,True
0.13121,2985808,True,2019-06-10 18:15:49,0.13121,True
0.13423,3206916,True,2019-06-10 20:08:59,0.13423,True
0.13870,2974345,True,2019-06-10 22:59:27,0.13870,True
0.13959,3067555,True,2019-06-10 20:29:53,0.13959,True
0.15234,3084572,True,2019-06-10 19:32:03,0.15234,True
0.15866,3149469,True,2019-06-10 19:07:57,0.15866,True
0.15955,2978079,True,2019-06-10 18:35:09,0.15955,True
0.16006,3135836,True,2019-05-29 15:40:05,0.16006,True
0.16078,3216372,True,2019-05-31 05:31:55,0.16078,True
0.16962,3155087,True,2019-06-06 14:56:20,0.16962,True
0.17185,2987739,True,2019-06-03 05:14:26,0.17185,True
0.17325,2985131,True,2019-06-10 14:41:17,0.17325,True
0.17923,2983366,True,2019-05-23 00:39:49,0.17923,True
0.18672,3028363,True,2019-05-13 01:02:34,0.18672,True
0.18672,2983185,True,2019-06-06 01:55:30,0.18672,True
0.18901,2992833,True,2019-05-16 06:30:57,0.18901,True
0.19114,3009052,True,2019-06-10 23:55:20,0.19114,True
0.19254,3026970,True,2019-05-06 16:51:43,0.19254,True
0.20540,3128909,True,2019-05-05 13:29:26,0.20540,True
0.20545,3073894,True,2019-05-22 13:01:50,0.20545,True
0.20869,3225532,True,2019-06-08 02:24:04,0.20869,True
0.20948,3001407,True,2019-05-05 07:40:27,0.20948,True
0.21451,3035507,True,2019-04-15 10:29:28,0.21451,True
0.21641,2971889,True,2019-04-08 15:53:59,0.21641,True
0.21747,3104995,True,2019-04-30 01:36:56,0.21747,True
0.22178,3061861,True,2019-05-21 01:29:30,0.22178,True
0.22809,3024957,True,2019-04-19 14:05:39,0.22809,True
0.22865,2969398,True,2019-04-12 07:27:05,0.22865,True
0.23257,3005315,True,2019-05-27 08:16:56,0.23257,True
0.23324,3043973,True,2019-04-25 04:33:08,0.23324,True
0.23391,3029851,True,2019-06-03 08:05:11,0.23391,True
0.23989,2990757,True,2019-05-03 05:11:59,0.23989,True
0.24207,3037452,True,2019-04-20 02:11:13,0.24207,True
0.24291,3012528,True,2019-06-06 13:31:51,0.24291,True
0.24380,3145994,True,2019-06-10 14:37:22,0.24380,True
0.24777,3043586,True,2019-05-06 01:00:22,0.24777,True
0.25029,3090413,True,2019-06-10 00:30:19,0.25029,True
0.25487,3018289,True,2019-06-03 09:18:21,0.25487,True
0.25862,3083088,True,2019-06-05 17:24:48,0.25862,True
0.26058,3017936,True,2019-04-29 22:36:32,0.26058,True
0.26533,3021246,True,2019-04-17 08:13:10,0.26533,True
0.26863,2970854,True,2019-05-29 02:48:29,0.26863,True
0.26879,3115204,True,2019-05-09 23:45:45,0.26879,True
0.27656,3177280,True,2019-06-10 16:59:40,0.27656,True
0.28132,3159549,True,2019-05-24 12:33:16,0.28132,True
0.28182,3125193,True,2019-06-01 11:57:16,0.28182,True
0.28618,2969134,True,2019-03-29 22:31:20,0.28618,True
0.28987,2969854,True,2019-04-04 17:36:47,0.28987,True
0.29507,3070296,True,2019-06-10 06:17:51,0.29507,True
0.29703,3191218,True,2019-05-24 05:26:15,0.29703,True
0.30362,3018105,True,2019-05-30 08:51:30,0.30362,True
0.30502,2979210,True,2019-04-09 00:31:41,0.30502,True
0.30524,3168786,True,2019-06-07 09:11:47,0.30524,True
0.30838,3072717,True,2019-06-10 23:46:52,0.30838,True
0.31262,2990324,True,2019-05-16 23:56:15,0.31262,True
0.31894,3150751,True,2019-05-15 02:34:59,0.31894,True
0.31967,3110542,True,2019-06-07 15:22:28,0.31967,True
0.33700,3155361,True,2019-06-10 18:12:07,0.33700,True
0.33795,3050146,True,2019-04-18 03:06:18,0.33795,True
0.34153,3175001,True,2019-05-29 13:10:04,0.34153,True
0.34242,2988786,True,2019-05-28 16:40:08,0.34242,True
0.34259,3014927,True,2019-05-09 05:28:17,0.34259,True
0.34466,3176542,True,2019-06-10 14:42:54,0.34466,True
0.35282,3125075,True,2019-06-03 11:44:47,0.35282,True
0.35349,3232387,True,2019-06-08 11:43:01,0.35349,True
0.35651,3174083,True,2019-06-10 22:36:05,0.35651,True
0.35897,3084408,True,2019-04-27 00:01:45,0.35897,True
